Purchaser Entity / Country,Company,Scientifc Name,Company and Scientific Name,Number of Doses Procured
Argentina,Oxford University,AZD1222,Oxford University_AZD1222,22000000
Australia,Oxford University,AZD1222,Oxford University_AZD1222,53800000
Bangladesh,Oxford University,AZD1222,Oxford University_AZD1222,33000000
Brazil,Oxford University,AZD1222,Oxford University_AZD1222,102000000
Canada,Oxford University,AZD1222,Oxford University_AZD1222,20000000
Chile,Oxford University,AZD1222,Oxford University_AZD1222,14400000
Colombia,Oxford University,AZD1222,Oxford University_AZD1222,10000000
Costa Rica,Oxford University,AZD1222,Oxford University_AZD1222,1000000
COVAX,Oxford University,AZD1222,Oxford University_AZD1222,170000000
Ecuador,Oxford University,AZD1222,Oxford University_AZD1222,5000000
Egypt,Oxford University,AZD1222,Oxford University_AZD1222,30000000
El Salvador,Oxford University,AZD1222,Oxford University_AZD1222,2000000
EU,Oxford University,AZD1222,Oxford University_AZD1222,400000000
India,Oxford University,AZD1222,Oxford University_AZD1222,11000000
Indonesia,Oxford University,AZD1222,Oxford University_AZD1222,
Israel,Oxford University,AZD1222,Oxford University_AZD1222,
Japan,Oxford University,AZD1222,Oxford University_AZD1222,120000000
Latin America w/o Brazil,Oxford University,AZD1222,Oxford University_AZD1222,150000000
Malaysia,Oxford University,AZD1222,Oxford University_AZD1222,6400000
Mexico,Oxford University,AZD1222,Oxford University_AZD1222,77400000
Morocco,Oxford University,AZD1222,Oxford University_AZD1222,
New Zealand,Oxford University,AZD1222,Oxford University_AZD1222,7600000
Panama,Oxford University,AZD1222,Oxford University_AZD1222,
Philippines,Oxford University,AZD1222,Oxford University_AZD1222,17000000
South Africa,Oxford University,AZD1222,Oxford University_AZD1222,1500000
South Korea,Oxford University,AZD1222,Oxford University_AZD1222,20000000
Taiwan,Oxford University,AZD1222,Oxford University_AZD1222,10000000
Thailand,Oxford University,AZD1222,Oxford University_AZD1222,26000000
UK,Oxford University,AZD1222,Oxford University_AZD1222,100000000
USA,Oxford University,AZD1222,Oxford University_AZD1222,500000000
Vietnam,Oxford University,AZD1222,Oxford University_AZD1222,30000000
Palestine,Oxford University,AZD1222,Oxford University_AZD1222,
Dominican Republic,Oxford University,AZD1222,Oxford University_AZD1222,10000000
Peru,Oxford University,AZD1222,Oxford University_AZD1222,14000000
African Union,Oxford University,AZD1222,Oxford University_AZD1222,100000000
Bolivia,Oxford University,AZD1222,Oxford University_AZD1222,5000000
Argentina,Pfizer,BNT162,Pfizer_BNT162,
Australia,Pfizer,BNT162,Pfizer_BNT162,10000000
Brazil,Pfizer,BNT162,Pfizer_BNT162,
Canada,Pfizer,BNT162,Pfizer_BNT162,40000000
Chile,Pfizer,BNT162,Pfizer_BNT162,10000000
China,Pfizer,BNT162,Pfizer_BNT162,100000000
Colombia,Pfizer,BNT162,Pfizer_BNT162,10000000
Costa Rica,Pfizer,BNT162,Pfizer_BNT162,3000075
Ecuador,Pfizer,BNT162,Pfizer_BNT162,2000000
EU,Pfizer,BNT162,Pfizer_BNT162,300000000
Germany,Pfizer,BNT162,Pfizer_BNT162,
Hong Kong,Pfizer,BNT162,Pfizer_BNT162,7500000
Indonesia,Pfizer,BNT162,Pfizer_BNT162,
Iraq,Pfizer,BNT162,Pfizer_BNT162,1500000
Israel,Pfizer,BNT162,Pfizer_BNT162,8000000
Japan,Pfizer,BNT162,Pfizer_BNT162,120000000
Kazakhstan,Pfizer,BNT162,Pfizer_BNT162,
Kuwait,Pfizer,BNT162,Pfizer_BNT162,1000000
Lebanon,Pfizer,BNT162,Pfizer_BNT162,2000000
Malaysia,Pfizer,BNT162,Pfizer_BNT162,25000000
Mexico,Pfizer,BNT162,Pfizer_BNT162,34400000
New Zealand,Pfizer,BNT162,Pfizer_BNT162,1500000
North Macedonia,Pfizer,BNT162,Pfizer_BNT162,800000
Panama,Pfizer,BNT162,Pfizer_BNT162,3000000
Peru,Pfizer,BNT162,Pfizer_BNT162,
Qatar,Pfizer,BNT162,Pfizer_BNT162,
Saudi Arabia,Pfizer,BNT162,Pfizer_BNT162,3000000
South Korea,Pfizer,BNT162,Pfizer_BNT162,20000000
Switzerland,Pfizer,BNT162,Pfizer_BNT162,3000000
Taiwan,Pfizer,BNT162,Pfizer_BNT162,30000000
Turkey,Pfizer,BNT162,Pfizer_BNT162,4500000
UK,Pfizer,BNT162,Pfizer_BNT162,40000000
USA,Pfizer,BNT162,Pfizer_BNT162,200000000
Serbia,Pfizer,BNT162,Pfizer_BNT162,500000
Jordan,Pfizer,BNT162,Pfizer_BNT162,1000000
African Union,Pfizer,BNT162,Pfizer_BNT162,50000000
Albania,Pfizer,BNT162,Pfizer_BNT162,500000
United Arab Emirates,Pfizer,BNT162,Pfizer_BNT162,
COVAX,Pfizer,BNT162,Pfizer_BNT162,40000000
Canada,Moderna,mRNA-1273,Moderna_mRNA-1273,40000000
EU,Moderna,mRNA-1273,Moderna_mRNA-1273,160000000
Israel,Moderna,mRNA-1273,Moderna_mRNA-1273,6000000
Japan,Moderna,mRNA-1273,Moderna_mRNA-1273,50000000
Mexico,Moderna,mRNA-1273,Moderna_mRNA-1273,
Qatar,Moderna,mRNA-1273,Moderna_mRNA-1273,
Singapore,Moderna,mRNA-1273,Moderna_mRNA-1273,
South Korea,Moderna,mRNA-1273,Moderna_mRNA-1273,20000000
Switzerland,Moderna,mRNA-1273,Moderna_mRNA-1273,7500000
UK,Moderna,mRNA-1273,Moderna_mRNA-1273,17000000
USA,Moderna,mRNA-1273,Moderna_mRNA-1273,200000000
Australia,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,51000000
Canada,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,76000000
EU,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,
India,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,
Indonesia,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,50000000
Mexico,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,
New Zealand,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,10700000
Philippines,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,30000000
UK,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,60000000
USA,Novavax,NVX-CoV2373,Novavax_NVX-CoV2373,110000000
Algeria,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,
Argentina,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,25000000
Bolivia,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,2600000
Brazil,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,50000000
Egypt,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,25000000
India,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,100000000
Kazakhstan,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,2000000
Malaysia,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,
Mexico,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,32000000
Nepal,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,25000000
Saudi Arabia,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,
Serbia,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,2000000
Uzbekistan,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,35000000
Venezuela,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,10000000
Vietnam,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,50000000
Palestine,Gamaleya Research Institute,Sputnik V,Gamaleya Research Institute_Sputnik V,
Canada,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,38000000
Chile,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,4000000
Colombia,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,9000000
COVAX,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,500000000
EU,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,200000000
Mexico,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,
New Zealand,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,2000000
South Korea,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,6000000
UK,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,30000000
USA,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,100000000
African Union,Janssen (J&J),Ad26.COV2.S,Janssen (J&J)_Ad26.COV2.S,120000000
Canada,Sanofi-GSK,SARS-CoV-2 Vaccine,Sanofi-GSK_SARS-CoV-2 Vaccine,72000000
COVAX,Sanofi-GSK,SARS-CoV-2 Vaccine,Sanofi-GSK_SARS-CoV-2 Vaccine,200000000
EU,Sanofi-GSK,SARS-CoV-2 Vaccine,Sanofi-GSK_SARS-CoV-2 Vaccine,300000000
UK,Sanofi-GSK,SARS-CoV-2 Vaccine,Sanofi-GSK_SARS-CoV-2 Vaccine,60000000
USA,Sanofi-GSK,SARS-CoV-2 Vaccine,Sanofi-GSK_SARS-CoV-2 Vaccine,100000000
Brazil,Sinovac,Coronavac,Sinovac_Coronavac,100000000
Chile,Sinovac,Coronavac,Sinovac_Coronavac,60000000
Hong Kong,Sinovac,Coronavac,Sinovac_Coronavac,7500000
Indonesia,Sinovac,Coronavac,Sinovac_Coronavac,125500000
Mexico,Sinovac,Coronavac,Sinovac_Coronavac,
Philippines,Sinovac,Coronavac,Sinovac_Coronavac,25000000
Thailand,Sinovac,Coronavac,Sinovac_Coronavac,2000000
Turkey,Sinovac,Coronavac,Sinovac_Coronavac,50000000
Ukraine,Sinovac,Coronavac,Sinovac_Coronavac,1800000
Malaysia,Sinovac,Coronavac,Sinovac_Coronavac,14000000
Azerbaijan,Sinovac,Coronavac,Sinovac_Coronavac,4000000
Egypt,Sinopharm,,Sinopharm,
Morocco,Sinopharm,,Sinopharm,10000000
Pakistan,Sinopharm,,Sinopharm,1700000
Peru,Sinopharm,,Sinopharm,38000000
United Arab Emirates,Sinopharm,,Sinopharm,3000000
Indonesia,CanSino Biologics,Ad5-nCoV,CanSino Biologics_Ad5-nCoV,15000000
Malaysia,CanSino Biologics,Ad5-nCoV,CanSino Biologics_Ad5-nCoV,
Mexico,CanSino Biologics,Ad5-nCoV,CanSino Biologics_Ad5-nCoV,
Pakistan,CanSino Biologics,Ad5-nCoV,CanSino Biologics_Ad5-nCoV,
EU,CureVac,CVnCov,CureVac_CVnCov,225000000
Mexico,CureVac,CVnCov,CureVac_CVnCov,
Saudi Arabia,CureVac,CVnCov,CureVac_CVnCov,
Germany,CureVac,CVnCov,CureVac_CVnCov,
Israel,Arcturus Therapeutics,LUNAR-COV19,Arcturus Therapeutics_LUNAR-COV19,4000000
Singapore,Arcturus Therapeutics,LUNAR-COV19,Arcturus Therapeutics_LUNAR-COV19,
Canada,Medicago,CoVLP,Medicago_CoVLP,76000000
Brazil,COVAXX (United Biomedical),UB-162,COVAXX (United Biomedical)_UB-162,
Ecuador,COVAXX (United Biomedical),UB-162,COVAXX (United Biomedical)_UB-162,2000000
Peru,COVAXX (United Biomedical),UB-162,COVAXX (United Biomedical)_UB-162,
UK,Valneva,VLA2001,Valneva_VLA2001,60000000
EU,Valneva,VLA2001,Valneva_VLA2001,
COVAX,COVAX,,COVAX Vaccines,200000000
Brazil,Bharat Biotech,COVAXIN,Bharat Biotech_COVAXIN,
India,Bharat Biotech,COVAXIN,Bharat Biotech_COVAXIN,5500000
